id,name,color,hotelId,isSeedData,autoGeneratedCode,createdAt,updatedAt,deletedAt,createdBy,updatedBy,deletedBy,inntoDataId
12,'常連','00A0C3',3,True,'0000000003','2023-02-09 21:16:23.270201+09:00','2023-02-14 13:33:09.320511+09:00',None,None,None,None,35160
10,'上客','3A9554',3,True,'0000000001','2023-02-09 21:16:23.270201+09:00','2023-02-14 13:33:09.320511+09:00',None,None,None,None,35161
11,'要注意','C53C3C',3,True,'0000000002','2023-02-09 21:16:23.270201+09:00','2023-02-14 13:33:09.320511+09:00',None,None,None,None,35162
