id,hotelId,receiptId,bookingType,bookingId,type,planId,facilityTypeId,paymentRoomBookingItemId,amount,paymentMethodId,createdAt,updatedAt,deletedAt,createdBy,updatedBy,deletedBy,inntoDataId,paymentMethod
201213,3,64173,'room_booking_item',69657,'payment',None,None,None,8000,27,'2023-02-28 10:14:59.315713+09:00','2023-02-28 10:14:59.315713+09:00',None,None,None,None,23034948,'{'id': 27, 'name': '事前入金分', 'hotelId': 3}'
201214,3,64174,'room_booking_item',69658,'receipt',None,None,None,7500,None,'2023-02-28 10:14:59.315713+09:00','2023-02-28 10:14:59.315713+09:00',None,None,None,None,23043382,None
201215,3,64174,'room_booking_item',69658,'receipt',None,None,None,8800,None,'2023-02-28 10:14:59.315713+09:00','2023-02-28 10:14:59.315713+09:00',None,None,None,None,23043383,None
201216,3,64174,'room_booking_item',69658,'receipt',None,None,None,9800,None,'2023-02-28 10:14:59.315713+09:00','2023-02-28 10:14:59.315713+09:00',None,None,None,None,23043384,None
201217,3,64174,'room_booking_item',69658,'payment',None,None,None,26100,27,'2023-02-28 10:14:59.315713+09:00','2023-02-28 10:14:59.315713+09:00',None,None,None,None,23043385,'{'id': 27, 'name': '事前入金分', 'hotelId': 3}'
202441,3,64565,'room_booking_item',70074,'receipt',None,None,None,6800,None,'2023-02-28 10:17:31.174585+09:00','2023-02-28 10:17:31.174585+09:00',None,None,None,None,23433426,None
202442,3,64565,'room_booking_item',70074,'payment',None,None,None,6800,27,'2023-02-28 10:17:31.174585+09:00','2023-02-28 10:17:31.174585+09:00',None,None,None,None,23433427,'{'id': 27, 'name': '事前入金分', 'hotelId': 3}'
202443,3,64566,'room_booking_item',70075,'receipt',None,None,None,10100,None,'2023-02-28 10:17:31.174585+09:00','2023-02-28 10:17:31.174585+09:00',None,None,None,None,23434003,None
202444,3,64566,'room_booking_item',70075,'receipt',None,None,None,10100,None,'2023-02-28 10:17:31.174585+09:00','2023-02-28 10:17:31.174585+09:00',None,None,None,None,23434004,None
202445,3,64566,'room_booking_item',70075,'receipt',None,None,None,6800,None,'2023-02-28 10:17:31.174585+09:00','2023-02-28 10:17:31.174585+09:00',None,None,None,None,23434005,None
202446,3,64566,'room_booking_item',70075,'payment',None,None,None,27000,27,'2023-02-28 10:17:31.174585+09:00','2023-02-28 10:17:31.174585+09:00',None,None,None,None,23434006,'{'id': 27, 'name': '事前入金分', 'hotelId': 3}'
202447,3,64567,'room_booking_item',70076,'receipt',None,None,None,10104,None,'2023-02-28 10:17:31.174585+09:00','2023-02-28 10:17:31.174585+09:00',None,None,None,None,23435115,None
202448,3,64567,'room_booking_item',70076,'payment',None,None,None,10104,27,'2023-02-28 10:17:31.174585+09:00','2023-02-28 10:17:31.174585+09:00',None,None,None,None,23435116,'{'id': 27, 'name': '事前入金分', 'hotelId': 3}'
202449,3,64568,'room_booking_item',70077,'receipt',None,None,None,7000,None,'2023-02-28 10:17:31.174585+09:00','2023-02-28 10:17:31.174585+09:00',None,None,None,None,23435851,None
202450,3,64568,'room_booking_item',70077,'payment',None,None,None,7000,26,'2023-02-28 10:17:31.174585+09:00','2023-02-28 10:17:31.174585+09:00',None,None,None,None,23435852,'{'id': 26, 'name': '事前入金分（ポイント)', 'hotelId': 3}'
202451,3,64569,'room_booking_item',70078,'receipt',None,None,None,9300,None,'2023-02-28 10:17:31.174585+09:00','2023-02-28 10:17:31.174585+09:00',None,None,None,None,23436102,None
202452,3,64569,'room_booking_item',70078,'receipt',None,None,None,12100,None,'2023-02-28 10:17:31.174585+09:00','2023-02-28 10:17:31.174585+09:00',None,None,None,None,23436103,None
202453,3,64569,'room_booking_item',70078,'payment',None,None,None,21400,27,'2023-02-28 10:17:31.174585+09:00','2023-02-28 10:17:31.174585+09:00',None,None,None,None,23436104,'{'id': 27, 'name': '事前入金分', 'hotelId': 3}'
202454,3,64570,'room_booking_item',70079,'receipt',None,None,None,8000,None,'2023-02-28 10:17:31.174585+09:00','2023-02-28 10:17:31.174585+09:00',None,None,None,None,23436548,None
202455,3,64570,'room_booking_item',70079,'payment',None,None,None,8000,27,'2023-02-28 10:17:31.174585+09:00','2023-02-28 10:17:31.174585+09:00',None,None,None,None,23436549,'{'id': 27, 'name': '事前入金分', 'hotelId': 3}'
202456,3,64571,'room_booking_item',70080,'receipt',None,None,None,6400,None,'2023-02-28 10:17:31.174585+09:00','2023-02-28 10:17:31.174585+09:00',None,None,None,None,23436989,None
