id,stoppingInventoryId,hotelId,roomId,facilityId,reason,memo,createdAt,updatedAt,deletedAt,createdBy,updatedBy,deletedBy,inntoDataId
130,60,3,350,None,'INVENTORY_ADJUSTMENT',None,'2023-02-28 10:55:52.009230+09:00','2023-02-28 11:33:11.084828+09:00','2023-02-28 11:33:11.084828+09:00',None,None,None,None
124,56,3,350,None,'INVENTORY_ADJUSTMENT',None,'2023-02-15 17:22:41.653609+09:00','2023-02-28 11:37:00.129520+09:00','2023-02-28 11:37:00.129520+09:00',None,None,None,None
135,62,3,350,None,'INVENTORY_ADJUSTMENT',None,'2023-02-28 11:33:11.084828+09:00','2023-02-28 11:37:00.129520+09:00','2023-02-28 11:37:00.129520+09:00',None,None,None,None
136,62,3,327,None,'INVENTORY_ADJUSTMENT',None,'2023-02-28 11:33:11.084828+09:00','2023-02-28 11:37:00.129520+09:00','2023-02-28 11:37:00.129520+09:00',None,None,None,None
137,62,3,340,None,'INVENTORY_ADJUSTMENT',None,'2023-02-28 11:33:11.084828+09:00','2023-02-28 11:37:00.129520+09:00','2023-02-28 11:37:00.129520+09:00',None,None,None,None
138,63,3,350,None,'INVENTORY_ADJUSTMENT',None,'2023-02-28 11:37:00.129520+09:00','2023-02-28 11:37:00.129520+09:00',None,None,None,None,None
139,64,3,327,None,'INVENTORY_ADJUSTMENT',None,'2023-02-28 11:40:08.056087+09:00','2023-02-28 11:41:09.074355+09:00','2023-02-28 11:41:09.074355+09:00',None,None,None,None
140,65,3,327,None,'INVENTORY_ADJUSTMENT',None,'2023-02-28 11:41:09.074355+09:00','2023-02-28 11:42:37.127088+09:00','2023-02-28 11:42:37.127088+09:00',None,None,None,None
141,65,3,340,None,'INVENTORY_ADJUSTMENT',None,'2023-02-28 11:41:09.074355+09:00','2023-02-28 11:42:37.127088+09:00','2023-02-28 11:42:37.127088+09:00',None,None,None,None
142,66,3,327,None,'INVENTORY_ADJUSTMENT',None,'2023-02-28 11:41:09.074355+09:00','2023-02-28 11:42:37.127088+09:00','2023-02-28 11:42:37.127088+09:00',None,None,None,None
143,66,3,340,None,'INVENTORY_ADJUSTMENT',None,'2023-02-28 11:41:09.074355+09:00','2023-02-28 11:42:37.127088+09:00','2023-02-28 11:42:37.127088+09:00',None,None,None,None
144,67,3,327,None,'INVENTORY_ADJUSTMENT',None,'2023-02-28 11:41:09.074355+09:00','2023-02-28 11:42:37.127088+09:00','2023-02-28 11:42:37.127088+09:00',None,None,None,None
145,68,3,327,None,'INVENTORY_ADJUSTMENT',None,'2023-02-28 11:41:09.074355+09:00','2023-02-28 11:42:37.127088+09:00','2023-02-28 11:42:37.127088+09:00',None,None,None,None
146,69,3,327,None,'INVENTORY_ADJUSTMENT',None,'2023-02-28 11:42:37.127088+09:00','2023-02-28 11:52:55.930037+09:00','2023-02-28 11:52:55.930037+09:00',None,None,None,None
147,69,3,340,None,'INVENTORY_ADJUSTMENT',None,'2023-02-28 11:42:37.127088+09:00','2023-02-28 11:52:55.930037+09:00','2023-02-28 11:52:55.930037+09:00',None,None,None,None
148,69,3,350,None,'INVENTORY_ADJUSTMENT',None,'2023-02-28 11:42:37.127088+09:00','2023-02-28 11:52:55.930037+09:00','2023-02-28 11:52:55.930037+09:00',None,None,None,None
131,61,3,350,None,'INVENTORY_ADJUSTMENT',None,'2023-02-28 11:31:53.990142+09:00','2023-03-01 12:04:11.191450+09:00','2023-03-01 12:04:11.191450+09:00',None,None,None,None
132,61,3,300,None,'INVENTORY_ADJUSTMENT',None,'2023-02-28 11:31:53.990142+09:00','2023-03-01 12:04:11.191450+09:00','2023-03-01 12:04:11.191450+09:00',None,None,None,None
133,61,3,327,None,'INVENTORY_ADJUSTMENT',None,'2023-02-28 11:31:53.990142+09:00','2023-03-01 12:04:11.191450+09:00','2023-03-01 12:04:11.191450+09:00',None,None,None,None
134,61,3,340,None,'INVENTORY_ADJUSTMENT',None,'2023-02-28 11:31:53.990142+09:00','2023-03-01 12:04:11.191450+09:00','2023-03-01 12:04:11.191450+09:00',None,None,None,None
149,70,3,327,None,'INVENTORY_ADJUSTMENT',None,'2023-02-28 11:42:37.127088+09:00','2023-02-28 11:52:55.930037+09:00','2023-02-28 11:52:55.930037+09:00',None,None,None,None
150,70,3,350,None,'INVENTORY_ADJUSTMENT',None,'2023-02-28 11:42:37.127088+09:00','2023-02-28 11:52:55.930037+09:00','2023-02-28 11:52:55.930037+09:00',None,None,None,None
151,71,3,327,None,'INVENTORY_ADJUSTMENT',None,'2023-02-28 11:42:37.127088+09:00','2023-02-28 11:52:55.930037+09:00','2023-02-28 11:52:55.930037+09:00',None,None,None,None
152,71,3,340,None,'INVENTORY_ADJUSTMENT',None,'2023-02-28 11:42:37.127088+09:00','2023-02-28 11:52:55.930037+09:00','2023-02-28 11:52:55.930037+09:00',None,None,None,None
153,71,3,350,None,'INVENTORY_ADJUSTMENT',None,'2023-02-28 11:42:37.127088+09:00','2023-02-28 11:52:55.930037+09:00','2023-02-28 11:52:55.930037+09:00',None,None,None,None
160,74,3,350,None,'INVENTORY_ADJUSTMENT',None,'2023-03-01 12:04:11.191450+09:00','2023-03-01 12:04:11.191450+09:00',None,None,None,None,None
161,74,3,300,None,'INVENTORY_ADJUSTMENT',None,'2023-03-01 12:04:11.191450+09:00','2023-03-01 12:04:11.191450+09:00',None,None,None,None,None
162,74,3,327,None,'INVENTORY_ADJUSTMENT',None,'2023-03-01 12:04:11.191450+09:00','2023-03-01 12:04:11.191450+09:00',None,None,None,None,None
163,74,3,340,None,'INVENTORY_ADJUSTMENT',None,'2023-03-01 12:04:11.191450+09:00','2023-03-01 12:04:11.191450+09:00',None,None,None,None,None
157,73,3,297,None,'INVENTORY_ADJUSTMENT',None,'2023-03-01 12:04:11.191450+09:00','2023-03-01 12:04:43.614808+09:00','2023-03-01 12:04:43.614808+09:00',None,None,None,None
158,73,3,299,None,'INVENTORY_ADJUSTMENT',None,'2023-03-01 12:04:11.191450+09:00','2023-03-01 12:04:43.614808+09:00','2023-03-01 12:04:43.614808+09:00',None,None,None,None
159,73,3,300,None,'INVENTORY_ADJUSTMENT',None,'2023-03-01 12:04:11.191450+09:00','2023-03-01 12:04:43.614808+09:00','2023-03-01 12:04:43.614808+09:00',None,None,None,None
168,76,3,297,None,'INVENTORY_ADJUSTMENT',None,'2023-03-01 12:04:43.614808+09:00','2023-03-01 12:06:45.132463+09:00','2023-03-01 12:06:45.132463+09:00',None,None,None,None
169,76,3,299,None,'INVENTORY_ADJUSTMENT',None,'2023-03-01 12:04:43.614808+09:00','2023-03-01 12:06:45.132463+09:00','2023-03-01 12:06:45.132463+09:00',None,None,None,None
170,76,3,300,None,'INVENTORY_ADJUSTMENT',None,'2023-03-01 12:04:43.614808+09:00','2023-03-01 12:06:45.132463+09:00','2023-03-01 12:06:45.132463+09:00',None,None,None,None
171,76,3,302,None,'INVENTORY_ADJUSTMENT',None,'2023-03-01 12:04:43.614808+09:00','2023-03-01 12:06:45.132463+09:00','2023-03-01 12:06:45.132463+09:00',None,None,None,None
172,77,3,297,None,'INVENTORY_ADJUSTMENT',None,'2023-03-01 12:06:45.132463+09:00','2023-03-01 12:11:13.555958+09:00','2023-03-01 12:11:13.555958+09:00',None,None,None,None
173,77,3,299,None,'INVENTORY_ADJUSTMENT',None,'2023-03-01 12:06:45.132463+09:00','2023-03-01 12:11:13.555958+09:00','2023-03-01 12:11:13.555958+09:00',None,None,None,None
174,77,3,300,None,'INVENTORY_ADJUSTMENT',None,'2023-03-01 12:06:45.132463+09:00','2023-03-01 12:11:13.555958+09:00','2023-03-01 12:11:13.555958+09:00',None,None,None,None
175,77,3,302,None,'INVENTORY_ADJUSTMENT',None,'2023-03-01 12:06:45.132463+09:00','2023-03-01 12:11:13.555958+09:00','2023-03-01 12:11:13.555958+09:00',None,None,None,None
176,77,3,304,None,'INVENTORY_ADJUSTMENT',None,'2023-03-01 12:06:45.132463+09:00','2023-03-01 12:11:13.555958+09:00','2023-03-01 12:11:13.555958+09:00',None,None,None,None
154,72,3,327,None,'INVENTORY_ADJUSTMENT',None,'2023-02-28 11:52:55.930037+09:00','2023-03-01 12:56:03.719812+09:00','2023-03-01 12:56:03.719812+09:00',None,None,None,None
155,72,3,340,None,'INVENTORY_ADJUSTMENT',None,'2023-02-28 11:52:55.930037+09:00','2023-03-01 12:56:03.719812+09:00','2023-03-01 12:56:03.719812+09:00',None,None,None,None
156,72,3,350,None,'INVENTORY_ADJUSTMENT',None,'2023-02-28 11:52:55.930037+09:00','2023-03-01 12:56:03.719812+09:00','2023-03-01 12:56:03.719812+09:00',None,None,None,None
177,78,3,350,None,'INVENTORY_ADJUSTMENT',None,'2023-03-01 12:56:03.719812+09:00','2023-03-01 12:56:03.719812+09:00',None,None,None,None,None
178,79,3,327,None,'INVENTORY_ADJUSTMENT',None,'2023-03-01 12:56:03.719812+09:00','2023-03-01 12:56:03.719812+09:00',None,None,None,None,None
179,79,3,340,None,'INVENTORY_ADJUSTMENT',None,'2023-03-01 12:56:03.719812+09:00','2023-03-01 12:56:03.719812+09:00',None,None,None,None,None
180,79,3,350,None,'INVENTORY_ADJUSTMENT',None,'2023-03-01 12:56:03.719812+09:00','2023-03-01 12:56:03.719812+09:00',None,None,None,None,None
181,80,3,297,None,'INVENTORY_ADJUSTMENT',None,'2023-03-01 12:59:47.041842+09:00','2023-03-01 13:02:00.739739+09:00','2023-03-01 13:02:00.739739+09:00',None,None,None,None
182,80,3,299,None,'INVENTORY_ADJUSTMENT',None,'2023-03-01 12:59:47.041842+09:00','2023-03-01 13:02:00.739739+09:00','2023-03-01 13:02:00.739739+09:00',None,None,None,None
183,80,3,300,None,'INVENTORY_ADJUSTMENT',None,'2023-03-01 12:59:47.041842+09:00','2023-03-01 13:02:00.739739+09:00','2023-03-01 13:02:00.739739+09:00',None,None,None,None
184,80,3,302,None,'INVENTORY_ADJUSTMENT',None,'2023-03-01 12:59:47.041842+09:00','2023-03-01 13:02:00.739739+09:00','2023-03-01 13:02:00.739739+09:00',None,None,None,None
164,75,3,350,None,'INVENTORY_ADJUSTMENT',None,'2023-03-01 12:04:11.191450+09:00','2023-03-01 13:04:14.249250+09:00','2023-03-01 13:04:14.249250+09:00',None,None,None,None
