id,hotelId,marketingChannelId,representativeGuestId,isReserverTheRepresentative,reserverGuestId,isMultiReservation,memo,isDailyClosing,isMonthlyClosing,otaReservationName,roomTypeGroupCode,planGroupCode,otaPlanCode,otaRoomTypeCode,otaReservationNumber,isNoLinkageSetting,tllDataId,autoGeneratedCode,createdAt,updatedAt,deletedAt,createdBy,updatedBy,deletedBy,inntoDataId,isHaveErrorPrice
65422,3,90,49005,True,49005,True,'bAu ',False,False,None,None,None,None,None,'RYa0fjijhx@0000000061',False,None,'0003001298','2023-02-28 10:22:47.718088+09:00','2023-02-28 10:22:47.718088+09:00',None,None,None,None,6197434,False
65423,3,90,48593,True,48593,True,'hbAZ',False,False,None,None,None,None,None,'RYa0fjimxh@0000000061',False,None,'0003001299','2023-02-28 10:22:47.718088+09:00','2023-02-28 10:22:47.718088+09:00',None,None,None,None,6197655,False
65424,3,90,48336,True,48336,True,'dqeg',False,False,None,None,None,None,None,'RYa0fjiv4r@0000000061',False,None,'0003001300','2023-02-28 10:22:47.718088+09:00','2023-02-28 10:22:47.718088+09:00',None,None,None,None,6198086,False
65425,3,93,46250,False,47835,True,'tinw',False,False,None,None,None,None,None,'3392816114@0000000030',False,None,'0003001301','2023-02-28 10:22:47.718088+09:00','2023-02-28 10:22:47.718088+09:00',None,None,None,None,6198533,False
65426,3,93,46448,False,46121,True,' jlc',False,False,None,None,None,None,None,'2351966852@0000000030',False,None,'0003001302','2023-02-28 10:22:47.718088+09:00','2023-02-28 10:22:47.718088+09:00',None,None,None,None,6198632,False
66990,3,102,50531,True,50531,True,'exbj',False,False,None,None,None,None,None,'TBH5UFYOMV@0000000041',False,None,'0003002866','2023-02-28 10:32:54.469080+09:00','2023-02-28 10:32:54.469080+09:00',None,None,None,None,6594543,False
64170,3,102,50177,True,50177,False,'gsiv',False,False,None,None,None,None,None,'TBXEQGFDIY@0000000041',False,None,'0003000046','2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,5904503,False
64171,3,90,48704,True,48704,True,'ghdh',False,False,None,None,None,None,None,'RYa0ffmv3f@0000000061',False,None,'0003000047','2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,5904840,False
64172,3,90,49404,True,49404,True,'qtkp',False,False,None,None,None,None,None,'RYa0ffn9vr@0000000061',False,None,'0003000048','2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,5905849,False
64173,3,90,48432,True,48432,True,'cdlt',False,False,None,None,None,None,None,'RYa0ffnzmt@0000000061',False,None,'0003000049','2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,5907076,False
