id,hotelId,representativeGuestId,roomBookingId,code,startDateOfStay,endDateOfStay,isDayUse,checkInTime,checkOutTime,memo,roomId,roomTypeId,planId,plan,planRoomTypeId,pricingSettings,numberOfAdults,price,bookingStatus,isRepresentativeRoom,createdAt,updatedAt,deletedAt,createdBy,updatedBy,deletedBy,inntoDataId
69655,3,49108,64166,None,'2022-11-10 00:00:00+09:00','2022-11-12 00:00:00+09:00',False,'21:00','11:00',None,314,23,None,'{'name': '【素泊】スペシャル'}',None,'[{'date': '2022-11-09T15:00:00.000Z', 'planTax': {'id': 58, 'name': '課税10%', 'type': 'tax1', 'isActive': True, 'inntoDataId': 17}, 'planRoomTypePricing': {'price': 6400}}, {'date': '2022-11-10T15:00:00.000Z', 'planTax': {'id': 58, 'name': '課税10%', 'type': 'tax1', 'isActive': True, 'inntoDataId': 17}, 'planRoomTypePricing': {'price': 7400}}]',1,None,'checked_out',False,'2023-02-28 10:14:59.315713+09:00','2023-02-28 10:14:59.315713+09:00',None,None,None,None,6699524
69656,3,46165,64167,None,'2022-11-25 00:00:00+09:00','2022-11-26 00:00:00+09:00',False,'15:00','11:00',None,None,23,None,'{'name': '【素泊】'}',None,'[{'date': '2022-11-24T15:00:00.000Z', 'planTax': {'id': 58, 'name': '課税10%', 'type': 'tax1', 'isActive': True, 'inntoDataId': 17}, 'planRoomTypePricing': {'price': 7500}}]',1,None,'cancelled',False,'2023-02-28 10:14:59.315713+09:00','2023-02-28 10:14:59.315713+09:00',None,None,None,None,6699528
69657,3,49424,64168,None,'2022-11-05 00:00:00+09:00','2022-11-06 00:00:00+09:00',False,'21:00','11:00',None,333,25,None,'{'name': '【素泊】スペシャル'}',None,'[{'date': '2022-11-04T15:00:00.000Z', 'planTax': {'id': 58, 'name': '課税10%', 'type': 'tax1', 'isActive': True, 'inntoDataId': 17}, 'planRoomTypePricing': {'price': 8000}}]',2,None,'checked_out',False,'2023-02-28 10:14:59.315713+09:00','2023-02-28 10:14:59.315713+09:00',None,None,None,None,6699683
69658,3,47808,64169,None,'2022-11-10 00:00:00+09:00','2022-11-13 00:00:00+09:00',False,'15:00','11:00',None,306,23,None,'{'name': '【素泊】'}',None,'[{'date': '2022-11-09T15:00:00.000Z', 'planTax': {'id': 58, 'name': '課税10%', 'type': 'tax1', 'isActive': True, 'inntoDataId': 17}, 'planRoomTypePricing': {'price': 7500}}, {'date': '2022-11-10T15:00:00.000Z', 'planTax': {'id': 58, 'name': '課税10%', 'type': 'tax1', 'isActive': True, 'inntoDataId': 17}, 'planRoomTypePricing': {'price': 8800}}, {'date': '2022-11-11T15:00:00.000Z', 'planTax': {'id': 58, 'name': '課税10%', 'type': 'tax1', 'isActive': True, 'inntoDataId': 17}, 'planRoomTypePricing': {'price': 9800}}]',1,None,'checked_out',False,'2023-02-28 10:14:59.315713+09:00','2023-02-28 10:14:59.315713+09:00',None,None,None,None,6701899
70888,3,49840,65325,None,'2022-12-14 00:00:00+09:00','2022-12-15 00:00:00+09:00',False,'15:00','11:00',None,None,25,None,'{'name': '【素泊】スペシャル'}',None,'[{'date': '2022-12-13T15:00:00.000Z', 'planTax': {'id': 58, 'name': '課税10%', 'type': 'tax1', 'isActive': True, 'inntoDataId': 17}, 'planRoomTypePricing': {'price': 7000}}]',2,None,'cancelled',False,'2023-02-28 10:22:14.597902+09:00','2023-02-28 10:22:14.597902+09:00',None,None,None,None,7001962
70889,3,50120,65326,None,'2022-11-20 00:00:00+09:00','2022-11-21 00:00:00+09:00',False,'15:00','11:00',None,296,23,None,'{'name': '【素泊】スペシャル'}',None,'[{'date': '2022-11-19T15:00:00.000Z', 'planTax': {'id': 58, 'name': '課税10%', 'type': 'tax1', 'isActive': True, 'inntoDataId': 17}, 'planRoomTypePricing': {'price': 6400}}]',1,None,'checked_out',False,'2023-02-28 10:22:14.597902+09:00','2023-02-28 10:22:14.597902+09:00',None,None,None,None,7002067
69659,3,50177,64170,None,'2022-11-12 00:00:00+09:00','2022-11-13 00:00:00+09:00',False,'22:00','11:00',None,300,25,None,'{'name': '【素泊】スペシャル'}',None,'[{'date': '2022-11-11T15:00:00.000Z', 'planTax': {'id': 58, 'name': '課税10%', 'type': 'tax1', 'isActive': True, 'inntoDataId': 17}, 'planRoomTypePricing': {'price': 8000}}]',2,None,'checked_out',False,'2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,6703433
69660,3,48704,64171,None,'2022-10-31 00:00:00+09:00','2022-11-02 00:00:00+09:00',False,'17:00','11:00',None,None,25,None,'{'name': '【素泊】スペシャル'}',None,'[{'date': '2022-10-30T15:00:00.000Z', 'planTax': {'id': 58, 'name': '課税10%', 'type': 'tax1', 'isActive': True, 'inntoDataId': 17}, 'planRoomTypePricing': {'price': 6500}}, {'date': '2022-10-31T15:00:00.000Z', 'planTax': {'id': 58, 'name': '課税10%', 'type': 'tax1', 'isActive': True, 'inntoDataId': 17}, 'planRoomTypePricing': {'price': 6500}}]',1,None,'cancelled',False,'2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,6703801
69661,3,49404,64172,None,'2022-11-19 00:00:00+09:00','2022-11-20 00:00:00+09:00',False,'15:00','11:00',None,317,25,None,'{'name': '【素泊】スペシャル'}',None,'[{'date': '2022-11-18T15:00:00.000Z', 'planTax': {'id': 58, 'name': '課税10%', 'type': 'tax1', 'isActive': True, 'inntoDataId': 17}, 'planRoomTypePricing': {'price': 8000}}]',2,None,'checked_out',False,'2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,6704983
69662,3,48432,64173,None,'2022-12-17 00:00:00+09:00','2022-12-18 00:00:00+09:00',False,'22:00','11:00',None,342,23,None,'{'name': '【素泊】スペシャル'}',None,'[{'date': '2022-12-16T15:00:00.000Z', 'planTax': {'id': 58, 'name': '課税10%', 'type': 'tax1', 'isActive': True, 'inntoDataId': 17}, 'planRoomTypePricing': {'price': 7900}}]',2,None,'checked_out',False,'2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,6706338
