id,hotelId,name,status,autoGeneratedCode,isSeedData,createdAt,updatedAt,deletedAt,createdBy,updatedBy,deletedBy,inntoDataId,isPullFromTll
6,3,'基本カレンダー','active','0003000001',True,'2023-02-09 21:16:23.270201+09:00','2023-02-14 13:33:08.766239+09:00',None,None,None,None,2656,False
7,3,'Semi Double Room (Non-Smoking) - 1','inactive','0003000002',False,'2023-02-28 12:30:00.786883+09:00','2023-02-28 12:30:00.786883+09:00',None,'tll','tll',None,None,True
