id,hotelId,planRoomTypeId,tllRank,peopleCount,price,createdAt,updatedAt,deletedAt,createdBy,updatedBy,deletedBy,inntoDataId
58,2,20,'F',0,5000,'2023-01-26 12:46:21.306480+09:00','2023-01-26 12:46:21.306480+09:00',None,None,None,None,None
59,2,20,'G',0,5000,'2023-01-26 12:46:21.306480+09:00','2023-01-26 12:46:21.306480+09:00',None,None,None,None,None
60,2,21,'A',0,5000,'2023-01-26 12:46:21.306480+09:00','2023-01-26 12:46:21.306480+09:00',None,None,None,None,None
61,2,21,'B',0,5000,'2023-01-26 12:46:21.306480+09:00','2023-01-26 12:46:21.306480+09:00',None,None,None,None,None
62,2,21,'C',0,5000,'2023-01-26 12:46:21.306480+09:00','2023-01-26 12:46:21.306480+09:00',None,None,None,None,None
63,2,21,'D',0,5000,'2023-01-26 12:46:21.306480+09:00','2023-01-26 12:46:21.306480+09:00',None,None,None,None,None
64,2,21,'E',0,5000,'2023-01-26 12:46:21.306480+09:00','2023-01-26 12:46:21.306480+09:00',None,None,None,None,None
65,2,21,'F',0,5000,'2023-01-26 12:46:21.306480+09:00','2023-01-26 12:46:21.306480+09:00',None,None,None,None,None
66,2,21,'G',0,5000,'2023-01-26 12:46:21.306480+09:00','2023-01-26 12:46:21.306480+09:00',None,None,None,None,None
39,2,18,'A',0,5000,'2023-01-26 12:45:10.793940+09:00','2023-01-26 12:46:45.868716+09:00','2023-01-26 12:46:45.868716+09:00',None,None,None,None
40,2,18,'B',0,5000,'2023-01-26 12:45:10.793940+09:00','2023-01-26 12:46:45.868716+09:00','2023-01-26 12:46:45.868716+09:00',None,None,None,None
41,2,18,'C',0,5000,'2023-01-26 12:45:10.793940+09:00','2023-01-26 12:46:45.868716+09:00','2023-01-26 12:46:45.868716+09:00',None,None,None,None
42,2,18,'D',0,5000,'2023-01-26 12:45:10.793940+09:00','2023-01-26 12:46:45.868716+09:00','2023-01-26 12:46:45.868716+09:00',None,None,None,None
43,2,18,'E',0,5000,'2023-01-26 12:45:10.793940+09:00','2023-01-26 12:46:45.868716+09:00','2023-01-26 12:46:45.868716+09:00',None,None,None,None
44,2,18,'F',0,5000,'2023-01-26 12:45:10.793940+09:00','2023-01-26 12:46:45.868716+09:00','2023-01-26 12:46:45.868716+09:00',None,None,None,None
45,2,18,'G',0,5000,'2023-01-26 12:45:10.793940+09:00','2023-01-26 12:46:45.868716+09:00','2023-01-26 12:46:45.868716+09:00',None,None,None,None
46,2,19,'A',0,5000,'2023-01-26 12:45:10.793940+09:00','2023-01-26 12:46:45.868716+09:00','2023-01-26 12:46:45.868716+09:00',None,None,None,None
47,2,19,'B',0,5000,'2023-01-26 12:45:10.793940+09:00','2023-01-26 12:46:45.868716+09:00','2023-01-26 12:46:45.868716+09:00',None,None,None,None
48,2,19,'C',0,5000,'2023-01-26 12:45:10.793940+09:00','2023-01-26 12:46:45.868716+09:00','2023-01-26 12:46:45.868716+09:00',None,None,None,None
49,2,19,'D',0,5000,'2023-01-26 12:45:10.793940+09:00','2023-01-26 12:46:45.868716+09:00','2023-01-26 12:46:45.868716+09:00',None,None,None,None
50,2,19,'E',0,5000,'2023-01-26 12:45:10.793940+09:00','2023-01-26 12:46:45.868716+09:00','2023-01-26 12:46:45.868716+09:00',None,None,None,None
51,2,19,'F',0,5000,'2023-01-26 12:45:10.793940+09:00','2023-01-26 12:46:45.868716+09:00','2023-01-26 12:46:45.868716+09:00',None,None,None,None
52,2,19,'G',0,5000,'2023-01-26 12:45:10.793940+09:00','2023-01-26 12:46:45.868716+09:00','2023-01-26 12:46:45.868716+09:00',None,None,None,None
67,2,22,'A',0,5000,'2023-01-26 12:46:45.868716+09:00','2023-01-26 12:46:45.868716+09:00',None,None,None,None,None
68,2,22,'B',0,5000,'2023-01-26 12:46:45.868716+09:00','2023-01-26 12:46:45.868716+09:00',None,None,None,None,None
69,2,22,'C',0,5000,'2023-01-26 12:46:45.868716+09:00','2023-01-26 12:46:45.868716+09:00',None,None,None,None,None
70,2,22,'D',0,5000,'2023-01-26 12:46:45.868716+09:00','2023-01-26 12:46:45.868716+09:00',None,None,None,None,None
71,2,22,'E',0,5000,'2023-01-26 12:46:45.868716+09:00','2023-01-26 12:46:45.868716+09:00',None,None,None,None,None
72,2,22,'F',0,5000,'2023-01-26 12:46:45.868716+09:00','2023-01-26 12:46:45.868716+09:00',None,None,None,None,None
73,2,22,'G',0,5000,'2023-01-26 12:46:45.868716+09:00','2023-01-26 12:46:45.868716+09:00',None,None,None,None,None
74,2,23,'A',0,5000,'2023-01-26 12:46:45.868716+09:00','2023-01-26 12:46:45.868716+09:00',None,None,None,None,None
75,2,23,'B',0,5000,'2023-01-26 12:46:45.868716+09:00','2023-01-26 12:46:45.868716+09:00',None,None,None,None,None
76,2,23,'C',0,5000,'2023-01-26 12:46:45.868716+09:00','2023-01-26 12:46:45.868716+09:00',None,None,None,None,None
520,3,133,'B',0,None,'2023-02-15 12:52:30.571439+09:00','2023-02-15 12:52:30.571439+09:00',None,None,None,None,None
521,3,133,'C',0,None,'2023-02-15 12:52:30.571439+09:00','2023-02-15 12:52:30.571439+09:00',None,None,None,None,None
522,3,133,'D',0,None,'2023-02-15 12:52:30.571439+09:00','2023-02-15 12:52:30.571439+09:00',None,None,None,None,None
523,3,133,'E',0,None,'2023-02-15 12:52:30.571439+09:00','2023-02-15 12:52:30.571439+09:00',None,None,None,None,None
524,3,133,'F',0,None,'2023-02-15 12:52:30.571439+09:00','2023-02-15 12:52:30.571439+09:00',None,None,None,None,None
525,3,133,'G',0,None,'2023-02-15 12:52:30.571439+09:00','2023-02-15 12:52:30.571439+09:00',None,None,None,None,None
428,3,120,'A',0,6500,'2023-02-15 08:50:13.665558+09:00','2023-02-15 12:55:45.486274+09:00','2023-02-15 12:55:45.486274+09:00',None,None,None,None
429,3,120,'B',0,7000,'2023-02-15 08:50:13.665558+09:00','2023-02-15 12:55:45.486274+09:00','2023-02-15 12:55:45.486274+09:00',None,None,None,None
430,3,120,'C',0,None,'2023-02-15 08:50:13.665558+09:00','2023-02-15 12:55:45.486274+09:00','2023-02-15 12:55:45.486274+09:00',None,None,None,None
431,3,120,'D',0,None,'2023-02-15 08:50:13.665558+09:00','2023-02-15 12:55:45.486274+09:00','2023-02-15 12:55:45.486274+09:00',None,None,None,None
432,3,120,'E',0,None,'2023-02-15 08:50:13.665558+09:00','2023-02-15 12:55:45.486274+09:00','2023-02-15 12:55:45.486274+09:00',None,None,None,None
433,3,120,'F',0,None,'2023-02-15 08:50:13.665558+09:00','2023-02-15 12:55:45.486274+09:00','2023-02-15 12:55:45.486274+09:00',None,None,None,None
434,3,120,'G',0,None,'2023-02-15 08:50:13.665558+09:00','2023-02-15 12:55:45.486274+09:00','2023-02-15 12:55:45.486274+09:00',None,None,None,None
547,3,137,'A',0,6500,'2023-02-15 12:55:45.486274+09:00','2023-02-15 12:55:45.486274+09:00',None,None,None,None,None
548,3,137,'B',0,7000,'2023-02-15 12:55:45.486274+09:00','2023-02-15 12:55:45.486274+09:00',None,None,None,None,None
337,3,107,'A',0,6500,'2023-02-15 08:40:26.937789+09:00','2023-02-15 12:50:02.491834+09:00','2023-02-15 12:50:02.491834+09:00',None,None,None,None
338,3,107,'B',0,6500,'2023-02-15 08:40:26.937789+09:00','2023-02-15 12:50:02.491834+09:00','2023-02-15 12:50:02.491834+09:00',None,None,None,None
339,3,107,'C',0,None,'2023-02-15 08:40:26.937789+09:00','2023-02-15 12:50:02.491834+09:00','2023-02-15 12:50:02.491834+09:00',None,None,None,None
340,3,107,'D',0,None,'2023-02-15 08:40:26.937789+09:00','2023-02-15 12:50:02.491834+09:00','2023-02-15 12:50:02.491834+09:00',None,None,None,None
341,3,107,'E',0,None,'2023-02-15 08:40:26.937789+09:00','2023-02-15 12:50:02.491834+09:00','2023-02-15 12:50:02.491834+09:00',None,None,None,None
342,3,107,'F',0,None,'2023-02-15 08:40:26.937789+09:00','2023-02-15 12:50:02.491834+09:00','2023-02-15 12:50:02.491834+09:00',None,None,None,None
549,3,137,'C',0,None,'2023-02-15 12:55:45.486274+09:00','2023-02-15 12:55:45.486274+09:00',None,None,None,None,None
550,3,137,'D',0,None,'2023-02-15 12:55:45.486274+09:00','2023-02-15 12:55:45.486274+09:00',None,None,None,None,None
551,3,137,'E',0,None,'2023-02-15 12:55:45.486274+09:00','2023-02-15 12:55:45.486274+09:00',None,None,None,None,None
552,3,137,'F',0,None,'2023-02-15 12:55:45.486274+09:00','2023-02-15 12:55:45.486274+09:00',None,None,None,None,None
77,2,23,'D',0,5000,'2023-01-26 12:46:45.868716+09:00','2023-01-26 12:46:45.868716+09:00',None,None,None,None,None
78,2,23,'E',0,5000,'2023-01-26 12:46:45.868716+09:00','2023-01-26 12:46:45.868716+09:00',None,None,None,None,None
79,2,23,'F',0,5000,'2023-01-26 12:46:45.868716+09:00','2023-01-26 12:46:45.868716+09:00',None,None,None,None,None
80,2,23,'G',0,5000,'2023-01-26 12:46:45.868716+09:00','2023-01-26 12:46:45.868716+09:00',None,None,None,None,None
81,2,24,'A',0,6000,'2023-01-26 18:26:51.998103+09:00','2023-01-26 18:26:51.998103+09:00',None,None,None,None,None
82,2,24,'B',0,6000,'2023-01-26 18:26:51.998103+09:00','2023-01-26 18:26:51.998103+09:00',None,None,None,None,None
83,2,24,'C',0,6000,'2023-01-26 18:26:51.998103+09:00','2023-01-26 18:26:51.998103+09:00',None,None,None,None,None
84,2,24,'D',0,6000,'2023-01-26 18:26:51.998103+09:00','2023-01-26 18:26:51.998103+09:00',None,None,None,None,None
85,2,24,'E',0,6000,'2023-01-26 18:26:51.998103+09:00','2023-01-26 18:26:51.998103+09:00',None,None,None,None,None
86,2,24,'F',0,6000,'2023-01-26 18:26:51.998103+09:00','2023-01-26 18:26:51.998103+09:00',None,None,None,None,None
87,2,24,'G',0,6000,'2023-01-26 18:26:51.998103+09:00','2023-01-26 18:26:51.998103+09:00',None,None,None,None,None
88,2,25,'A',0,6000,'2023-01-26 18:26:51.998103+09:00','2023-01-26 18:26:51.998103+09:00',None,None,None,None,None
89,2,25,'B',0,6000,'2023-01-26 18:26:51.998103+09:00','2023-01-26 18:26:51.998103+09:00',None,None,None,None,None
90,2,25,'C',0,None,'2023-01-26 18:26:51.998103+09:00','2023-01-26 18:26:51.998103+09:00',None,None,None,None,None
91,2,25,'D',0,None,'2023-01-26 18:26:51.998103+09:00','2023-01-26 18:26:51.998103+09:00',None,None,None,None,None
92,2,25,'E',0,None,'2023-01-26 18:26:51.998103+09:00','2023-01-26 18:26:51.998103+09:00',None,None,None,None,None
93,2,25,'F',0,None,'2023-01-26 18:26:51.998103+09:00','2023-01-26 18:26:51.998103+09:00',None,None,None,None,None
94,2,25,'G',0,None,'2023-01-26 18:26:51.998103+09:00','2023-01-26 18:26:51.998103+09:00',None,None,None,None,None
407,3,117,'A',0,None,'2023-02-15 08:49:13.179738+09:00','2023-02-15 12:54:26.159443+09:00','2023-02-15 12:54:26.159443+09:00',None,None,None,None
408,3,117,'B',0,None,'2023-02-15 08:49:13.179738+09:00','2023-02-15 12:54:26.159443+09:00','2023-02-15 12:54:26.159443+09:00',None,None,None,None
409,3,117,'C',0,None,'2023-02-15 08:49:13.179738+09:00','2023-02-15 12:54:26.159443+09:00','2023-02-15 12:54:26.159443+09:00',None,None,None,None
