id,hotelId,roomTypeId,bookedRoomCount,stoppingRoomCount,totalRoomCount,date,createdAt,updatedAt,deletedAt,createdBy,updatedBy,deletedBy,inntoDataId,capacityRoomType,overnightBookedRoomCount
76,3,23,1,0,16,'2023-02-19 23:59:59.013000+09:00','2023-02-19 23:59:59.080304+09:00','2023-02-19 23:59:59.080304+09:00',None,None,None,None,None,2,4
77,3,25,1,4,31,'2023-02-20 23:59:59.010000+09:00','2023-02-20 23:59:59.140948+09:00','2023-02-20 23:59:59.140948+09:00',None,None,None,None,None,2,11
78,3,24,1,0,8,'2023-02-20 23:59:59.010000+09:00','2023-02-20 23:59:59.140948+09:00','2023-02-20 23:59:59.140948+09:00',None,None,None,None,None,2,6
79,3,23,1,0,16,'2023-02-20 23:59:59.010000+09:00','2023-02-20 23:59:59.140948+09:00','2023-02-20 23:59:59.140948+09:00',None,None,None,None,None,2,7
80,3,25,1,4,31,'2023-02-21 23:59:59.010000+09:00','2023-02-21 23:59:59.075580+09:00','2023-02-21 23:59:59.075580+09:00',None,None,None,None,None,2,9
81,3,24,1,0,8,'2023-02-21 23:59:59.010000+09:00','2023-02-21 23:59:59.075580+09:00','2023-02-21 23:59:59.075580+09:00',None,None,None,None,None,2,2
82,3,23,1,0,16,'2023-02-21 23:59:59.010000+09:00','2023-02-21 23:59:59.075580+09:00','2023-02-21 23:59:59.075580+09:00',None,None,None,None,None,2,10
83,3,25,1,4,31,'2023-02-22 23:59:59.015000+09:00','2023-02-22 23:59:59.075028+09:00','2023-02-22 23:59:59.075028+09:00',None,None,None,None,None,2,14
84,3,24,1,0,8,'2023-02-22 23:59:59.015000+09:00','2023-02-22 23:59:59.075028+09:00','2023-02-22 23:59:59.075028+09:00',None,None,None,None,None,2,4
85,3,23,1,0,16,'2023-02-22 23:59:59.015000+09:00','2023-02-22 23:59:59.075028+09:00','2023-02-22 23:59:59.075028+09:00',None,None,None,None,None,2,12
86,3,25,1,4,31,'2023-02-23 23:59:59.009000+09:00','2023-02-23 23:59:59.069354+09:00','2023-02-23 23:59:59.069354+09:00',None,None,None,None,None,2,17
87,3,24,1,0,8,'2023-02-23 23:59:59.009000+09:00','2023-02-23 23:59:59.069354+09:00','2023-02-23 23:59:59.069354+09:00',None,None,None,None,None,2,1
88,3,23,1,0,16,'2023-02-23 23:59:59.009000+09:00','2023-02-23 23:59:59.069354+09:00','2023-02-23 23:59:59.069354+09:00',None,None,None,None,None,2,11
89,3,25,1,4,31,'2023-02-24 23:59:59.014000+09:00','2023-02-24 23:59:59.074501+09:00','2023-02-24 23:59:59.074501+09:00',None,None,None,None,None,2,17
90,3,23,1,0,16,'2023-02-24 23:59:59.014000+09:00','2023-02-24 23:59:59.074501+09:00','2023-02-24 23:59:59.074501+09:00',None,None,None,None,None,2,14
91,3,25,1,4,31,'2023-02-25 23:59:59.009000+09:00','2023-02-25 23:59:59.068726+09:00','2023-02-25 23:59:59.068726+09:00',None,None,None,None,None,2,8
