id,hotelId,name,layout,indicatorType,autoGeneratedCode,createdAt,updatedAt,deletedAt,createdBy,updatedBy,deletedBy,inntoDataId
8,3,'階層別ルームインジケータ','10x15','room','0003000002','2023-02-15 14:13:57.340241+09:00','2023-02-15 14:13:57.340241+09:00',None,'889ff7be-3a4f-4ce1-a4a1-b6f022f611aa','889ff7be-3a4f-4ce1-a4a1-b6f022f611aa',None,None
7,3,'ルームインジケータ 1','10x15','room','0003000001','2023-02-14 13:33:08.276135+09:00','2023-02-15 18:01:06.422064+09:00',None,None,'889ff7be-3a4f-4ce1-a4a1-b6f022f611aa',None,1
