id,hotelId,rawData,type,createdAt,updatedAt,deletedAt,createdBy,updatedBy,deletedBy,inntoDataId
195,3,'{'startDate': '2023-02-10T00:00:00+09:00', 'endDate': '2023-02-11T00:00:00+09:00', 'roomBookingId': 30745, 'bookingStatus': 'cancelled', 'autoGeneratedCode': 'IY0857187749@0000000080'}','room_booking_change_status','2023-02-11 03:00:00.289914+09:00','2023-02-11 03:00:00.289914+09:00',None,None,None,None,None
196,3,'{'startDate': '2023-02-10T00:00:00+09:00', 'endDate': '2023-02-12T00:00:00+09:00', 'roomBookingId': 30657, 'bookingStatus': 'cancelled', 'autoGeneratedCode': '3509996063@0000000030'}','room_booking_change_status','2023-02-11 03:00:00.289914+09:00','2023-02-11 03:00:00.289914+09:00',None,None,None,None,None
197,3,'{'startDate': '2023-02-10T00:00:00+09:00', 'endDate': '2023-02-12T00:00:00+09:00', 'roomBookingId': 30657, 'bookingStatus': 'cancelled', 'autoGeneratedCode': '3509996063@0000000030'}','room_booking_change_status','2023-02-11 03:00:00.289914+09:00','2023-02-11 03:00:00.289914+09:00',None,None,None,None,None
198,3,'{'startDate': '2023-02-10T00:00:00+09:00', 'endDate': '2023-02-12T00:00:00+09:00', 'roomBookingId': 30657, 'bookingStatus': 'cancelled', 'autoGeneratedCode': '3509996063@0000000030'}','room_booking_change_status','2023-02-11 03:00:00.289914+09:00','2023-02-11 03:00:00.289914+09:00',None,None,None,None,None
199,3,'{'startDate': '2023-02-10T00:00:00+09:00', 'endDate': '2023-02-14T00:00:00+09:00', 'roomBookingId': 30503, 'bookingStatus': 'cancelled', 'autoGeneratedCode': '2191814540@0000000030'}','room_booking_change_status','2023-02-11 03:00:00.289914+09:00','2023-02-11 03:00:00.289914+09:00',None,None,None,None,None
200,3,'{'startDate': '2023-02-10T00:00:00+09:00', 'endDate': '2023-02-12T00:00:00+09:00', 'roomBookingId': 30411, 'bookingStatus': 'cancelled', 'autoGeneratedCode': '2585226316@0000000030'}','room_booking_change_status','2023-02-11 03:00:00.289914+09:00','2023-02-11 03:00:00.289914+09:00',None,None,None,None,None
201,3,'{'startDate': '2023-02-10T00:00:00+09:00', 'endDate': '2023-02-11T00:00:00+09:00', 'roomBookingId': 30338, 'bookingStatus': 'cancelled', 'autoGeneratedCode': 'RYa0fts7b4@0000000061'}','room_booking_change_status','2023-02-11 03:00:00.289914+09:00','2023-02-11 03:00:00.289914+09:00',None,None,None,None,None
202,3,'{'startDate': '2023-02-10T00:00:00+09:00', 'endDate': '2023-02-12T00:00:00+09:00', 'roomBookingId': 30310, 'bookingStatus': 'cancelled', 'autoGeneratedCode': '3162339455@0000000030'}','room_booking_change_status','2023-02-11 03:00:00.289914+09:00','2023-02-11 03:00:00.289914+09:00',None,None,None,None,None
203,3,'{'startDate': '2023-02-10T00:00:00+09:00', 'endDate': '2023-02-14T00:00:00+09:00', 'roomBookingId': 30104, 'bookingStatus': 'cancelled', 'autoGeneratedCode': '2245896562@0000000030'}','room_booking_change_status','2023-02-11 03:00:00.289914+09:00','2023-02-11 03:00:00.289914+09:00',None,None,None,None,None
204,3,'{'startDate': '2023-02-10T00:00:00+09:00', 'endDate': '2023-02-11T00:00:00+09:00', 'roomBookingId': 29731, 'bookingStatus': 'cancelled', 'autoGeneratedCode': 'RYa0frvrzd@0000000061'}','room_booking_change_status','2023-02-11 03:00:00.289914+09:00','2023-02-11 03:00:00.289914+09:00',None,None,None,None,None
205,3,'{'startDate': '2023-02-10T00:00:00+09:00', 'endDate': '2023-02-11T00:00:00+09:00', 'roomBookingId': 29691, 'bookingStatus': 'cancelled', 'autoGeneratedCode': '2793567318@0000000030'}','room_booking_change_status','2023-02-11 03:00:00.289914+09:00','2023-02-11 03:00:00.289914+09:00',None,None,None,None,None
206,3,'{'startDate': '2023-02-10T00:00:00+09:00', 'endDate': '2023-02-12T00:00:00+09:00', 'roomBookingId': 29404, 'bookingStatus': 'cancelled', 'autoGeneratedCode': 'RYa0fphd8g_2@0000000061'}','room_booking_change_status','2023-02-11 03:00:00.289914+09:00','2023-02-11 03:00:00.289914+09:00',None,None,None,None,None
207,3,'{'startDate': '2023-02-10T00:00:00+09:00', 'endDate': '2023-02-12T00:00:00+09:00', 'roomBookingId': 29403, 'bookingStatus': 'cancelled', 'autoGeneratedCode': 'RYa0fphd8g_1@0000000061'}','room_booking_change_status','2023-02-11 03:00:00.289914+09:00','2023-02-11 03:00:00.289914+09:00',None,None,None,None,None
208,3,'{'startDate': '2023-02-10T00:00:00+09:00', 'endDate': '2023-02-12T00:00:00+09:00', 'roomBookingId': 29245, 'bookingStatus': 'cancelled', 'autoGeneratedCode': '17962052@0000000040'}','room_booking_change_status','2023-02-11 03:00:00.289914+09:00','2023-02-11 03:00:00.289914+09:00',None,None,None,None,None
209,3,'{'startDate': '2023-02-10T00:00:00+09:00', 'endDate': '2023-02-11T00:00:00+09:00', 'roomBookingId': 29077, 'bookingStatus': 'cancelled', 'autoGeneratedCode': 'RYa0fn75h1@0000000061'}','room_booking_change_status','2023-02-11 03:00:00.289914+09:00','2023-02-11 03:00:00.289914+09:00',None,None,None,None,None
210,3,'{'startDate': '2023-02-10T00:00:00+09:00', 'endDate': '2023-02-12T00:00:00+09:00', 'roomBookingId': 28495, 'bookingStatus': 'cancelled', 'autoGeneratedCode': '3108412746@0000000030'}','room_booking_change_status','2023-02-11 03:00:00.289914+09:00','2023-02-11 03:00:00.289914+09:00',None,None,None,None,None
211,3,'{'startDate': '2023-02-10T00:00:00+09:00', 'endDate': '2023-02-12T00:00:00+09:00', 'roomBookingId': 27888, 'bookingStatus': 'cancelled', 'autoGeneratedCode': 'RYa0fi2zz3@0000000061'}','room_booking_change_status','2023-02-11 03:00:00.289914+09:00','2023-02-11 03:00:00.289914+09:00',None,None,None,None,None
212,3,'{'startDate': '2023-02-11T00:00:00+09:00', 'endDate': '2023-02-12T00:00:00+09:00', 'roomBookingId': 31433, 'bookingStatus': 'cancelled', 'autoGeneratedCode': 'TB6CMDHKUT@0000000041'}','room_booking_change_status','2023-02-12 03:00:00.311974+09:00','2023-02-12 03:00:00.311974+09:00',None,None,None,None,None
213,3,'{'startDate': '2023-02-11T00:00:00+09:00', 'endDate': '2023-02-12T00:00:00+09:00', 'roomBookingId': 31372, 'bookingStatus': 'cancelled', 'autoGeneratedCode': '3507483201@0000000030'}','room_booking_change_status','2023-02-12 03:00:00.311974+09:00','2023-02-12 03:00:00.311974+09:00',None,None,None,None,None
214,3,'{'startDate': '2023-02-11T00:00:00+09:00', 'endDate': '2023-02-14T00:00:00+09:00', 'roomBookingId': 31370, 'bookingStatus': 'cancelled', 'autoGeneratedCode': '3943556055@0000000030'}','room_booking_change_status','2023-02-12 03:00:00.311974+09:00','2023-02-12 03:00:00.311974+09:00',None,None,None,None,None
215,3,'{'startDate': '2023-02-11T00:00:00+09:00', 'endDate': '2023-02-12T00:00:00+09:00', 'roomBookingId': 31361, 'bookingStatus': 'cancelled', 'autoGeneratedCode': '3507446602@0000000030'}','room_booking_change_status','2023-02-12 03:00:00.311974+09:00','2023-02-12 03:00:00.311974+09:00',None,None,None,None,None
216,3,'{'startDate': '2023-02-11T00:00:00+09:00', 'endDate': '2023-02-12T00:00:00+09:00', 'roomBookingId': 31357, 'bookingStatus': 'cancelled', 'autoGeneratedCode': '3507450895@0000000030'}','room_booking_change_status','2023-02-12 03:00:00.311974+09:00','2023-02-12 03:00:00.311974+09:00',None,None,None,None,None
217,3,'{'startDate': '2023-02-11T00:00:00+09:00', 'endDate': '2023-02-13T00:00:00+09:00', 'roomBookingId': 31336, 'bookingStatus': 'cancelled', 'autoGeneratedCode': 'TBT7ZBS25S@0000000041'}','room_booking_change_status','2023-02-12 03:00:00.311974+09:00','2023-02-12 03:00:00.311974+09:00',None,None,None,None,None
218,3,'{'startDate': '2023-02-11T00:00:00+09:00', 'endDate': '2023-02-12T00:00:00+09:00', 'roomBookingId': 31302, 'bookingStatus': 'cancelled', 'autoGeneratedCode': '2390681199@0000000030'}','room_booking_change_status','2023-02-12 03:00:00.311974+09:00','2023-02-12 03:00:00.311974+09:00',None,None,None,None,None
219,3,'{'startDate': '2023-02-11T00:00:00+09:00', 'endDate': '2023-02-12T00:00:00+09:00', 'roomBookingId': 31294, 'bookingStatus': 'cancelled', 'autoGeneratedCode': '3773040633@0000000030'}','room_booking_change_status','2023-02-12 03:00:00.311974+09:00','2023-02-12 03:00:00.311974+09:00',None,None,None,None,None
220,3,'{'startDate': '2023-02-11T00:00:00+09:00', 'endDate': '2023-02-12T00:00:00+09:00', 'roomBookingId': 31266, 'bookingStatus': 'cancelled', 'autoGeneratedCode': '3093512390@0000000030'}','room_booking_change_status','2023-02-12 03:00:00.311974+09:00','2023-02-12 03:00:00.311974+09:00',None,None,None,None,None
221,3,'{'startDate': '2023-02-11T00:00:00+09:00', 'endDate': '2023-02-12T00:00:00+09:00', 'roomBookingId': 31249, 'bookingStatus': 'cancelled', 'autoGeneratedCode': '2688054350@0000000030'}','room_booking_change_status','2023-02-12 03:00:00.311974+09:00','2023-02-12 03:00:00.311974+09:00',None,None,None,None,None
222,3,'{'startDate': '2023-02-11T00:00:00+09:00', 'endDate': '2023-02-13T00:00:00+09:00', 'roomBookingId': 31122, 'bookingStatus': 'cancelled', 'autoGeneratedCode': '2102517537@0000000030'}','room_booking_change_status','2023-02-12 03:00:00.311974+09:00','2023-02-12 03:00:00.311974+09:00',None,None,None,None,None
223,3,'{'startDate': '2023-02-11T00:00:00+09:00', 'endDate': '2023-02-12T00:00:00+09:00', 'roomBookingId': 31073, 'bookingStatus': 'cancelled', 'autoGeneratedCode': 'TBADUCZSCR@0000000041'}','room_booking_change_status','2023-02-12 03:00:00.311974+09:00','2023-02-12 03:00:00.311974+09:00',None,None,None,None,None
224,3,'{'startDate': '2023-02-11T00:00:00+09:00', 'endDate': '2023-02-13T00:00:00+09:00', 'roomBookingId': 30964, 'bookingStatus': 'cancelled', 'autoGeneratedCode': '2993821928@0000000030'}','room_booking_change_status','2023-02-12 03:00:00.311974+09:00','2023-02-12 03:00:00.311974+09:00',None,None,None,None,None
225,3,'{'startDate': '2023-02-11T00:00:00+09:00', 'endDate': '2023-02-12T00:00:00+09:00', 'roomBookingId': 30857, 'bookingStatus': 'cancelled', 'autoGeneratedCode': 'RYa0fvk16r@0000000061'}','room_booking_change_status','2023-02-12 03:00:00.311974+09:00','2023-02-12 03:00:00.311974+09:00',None,None,None,None,None
